framenumber,cam0_frame,cam0_sysclock,cam2_frame,cam2_sysclock
794,794.0,26414.0,794,26485
795,795.0,26447.0,795,26517
796,796.0,26481.0,796,26549
797,797.0,26514.0,797,26581
798,798.0,26547.0,798,26613
799,799.0,26581.0,799,26645
800,800.0,26615.0,800,26679
801,801.0,26648.0,801,26710
802,802.0,26684.0,802,26757
803,803.0,26716.0,803,26789
804,804.0,26748.0,804,26821
805,805.0,26781.0,805,26853
806,806.0,26814.0,806,26885
807,807.0,26848.0,807,26917
808,808.0,26881.0,808,26949
809,809.0,26915.0,809,26981
810,810.0,26948.0,810,27013
811,811.0,26981.0,811,27046
812,812.0,27015.0,812,27077
813,813.0,27049.0,813,27125
814,814.0,27082.0,814,27158
815,815.0,27114.0,815,27189
816,816.0,27148.0,816,27221
817,817.0,27181.0,817,27253
818,818.0,27215.0,818,27286
819,819.0,27248.0,819,27318
820,820.0,27282.0,820,27349
821,821.0,27315.0,821,27382
822,822.0,27348.0,822,27413
823,823.0,27383.0,823,27445
824,824.0,27415.0,824,27477
825,825.0,27448.0,825,27525
826,826.0,27482.0,826,27557
827,827.0,27515.0,827,27589
828,828.0,27548.0,828,27621
829,829.0,27581.0,829,27653
830,830.0,27615.0,830,27686
831,831.0,27648.0,831,27718
832,832.0,27682.0,832,27749
833,833.0,27715.0,833,27782
834,834.0,27748.0,834,27813
835,835.0,27782.0,835,27845
836,836.0,27815.0,836,27893
837,837.0,27848.0,837,27927
838,838.0,27882.0,838,27958
839,839.0,27918.0,839,27989
840,840.0,27950.0,840,28021
841,841.0,27982.0,841,28053
842,842.0,28015.0,842,28086
843,843.0,28048.0,843,28117
844,844.0,28082.0,844,28149
845,845.0,28115.0,845,28181
846,846.0,28148.0,846,28213
847,847.0,28182.0,847,28261
848,848.0,28215.0,848,28293
849,849.0,28248.0,849,28325
850,850.0,28282.0,850,28357
851,851.0,28315.0,851,28389
852,852.0,28349.0,852,28421
853,853.0,28382.0,853,28453
854,854.0,28415.0,854,28485
855,855.0,28449.0,855,28517
856,856.0,28482.0,856,28550
857,857.0,28515.0,857,28581
858,858.0,28550.0,858,28614
859,859.0,28582.0,859,28661
860,860.0,28617.0,860,28694
861,861.0,28650.0,861,28726
862,862.0,28683.0,862,28757
863,863.0,28716.0,863,28789
864,864.0,28750.0,864,28821
